year	pep	pfaqi	wage_2017	ecp	ecp_2017	pnos	pfans	pfans_avr	pfans_2017	pfans_2017_avr	occ	pr
1982	78.637	26.506	71427.9207354993	1505.616	5616.87740287746	682.5	8297.2	8076.83156164554	31303.1011846374	29451.0684211851	5.24331693728933	7.1223974418786
1983	79.579	28.521	71427.9207354993	1600.376	5684.1625042103	761.8	8599.6	8447.49792019831	30151.8179586971	30723.864586503	5.40516999008133	7.58170341358109
1984	83.848	33.197	71427.9207354993	1773.137	5989.08829783014	913.9	9112.5	8853.57405360825	27449.7695574901	28779.6561614631	4.80534844875972	8.60002681346727
1985	85.763	35.137	71427.9207354993	1908.326	6125.87276603863	968.6	9619	9363.46692702219	27375.7008281868	27412.7185151295	4.47490823954156	8.5931316009004
1986	87.136	35.59	71427.9207354993	2036.209	6223.94330120847	969.6	10230.8	9921.7564409886	28746.2770441135	28055.4094879449	4.50765826907478	8.10840276119614
1987	89.796	36.012	71427.9207354993	2186.167	6413.9415703649	1037.5	10843.5	10534.1804593449	30110.7964011996	29423.2635529644	4.58739189158072	8.15622374558494
1988	92.525	37.128	71427.9207354993	2371.171	6608.86836605207	1149.7	11536.2	11186.2756600283	31071.4285714286	30588.5984804327	4.62841696735222	8.48021038791678
1989	94.863	38.234	71427.9207354993	2518.802	6775.86684473167	1215.9	12203.1	11866.5268438223	31916.8802636397	31492.2630006438	4.64770983879789	8.4523615219416
1990	95.734	37.858	71427.9207354993	2668.556	6838.08056369229	1234.9	12773.6	12486.1778719505	33740.8209625442	32820.4041691534	4.79965157816621	8.14860894578718
1991	94.436	35.841	71427.9207354993	2734.823	6745.36712257761	1241.9	13058.8	12915.6751959811	36435.3673167601	35070.8436616023	5.19924905854504	7.93521065239256
1992	94.294	37.662	71427.9207354993	2909.092	6735.22435783317	1309.6	13609.2	13332.106503556	36135.0963836228	36285.0247800779	5.3873520542605	8.06344433086799
1993	96.615	40.772	71427.9207354993	3035.636	6901.00856186026	1401.1	14321.8	13962.4693952282	35126.5574413813	35628.4478744136	5.16278853373998	8.24268333101006
1994	99.463	44.008	71427.9207354993	3197.637	7104.43528011497	1556.8	15203	14758.015561708	34545.991637884	34835.4682371558	4.90334092206581	8.67025018806621
1995	102.281	46.695	71427.9207354993	3366.612	7305.7191607476	1683.4	15951.5	15574.2523671635	34161.045079773	34353.1588976047	4.70222823266715	8.8876619744894
1996	104.391	51.036	71427.9207354993	3562.746	7456.43207349951	1856.4	16767.6	16356.1568252681	32854.4556783447	33503.5042247355	4.49323535633195	9.3197904336632
1997	107.139	55.378	71427.9207354993	3823.494	7652.71599968066	2018.9	17703.4	17231.2650691338	31968.2906569396	32409.3540009427	4.23501329492628	9.58880599569387
1998	109.704	61.09	71427.9207354993	4146.921	7835.92861636721	2113.8	18775.4	18234.1483252069	30733.9990178425	31347.0949233316	4.00043140488234	9.44458894830068
1999	112.25	66.447	71427.9207354993	4429.104	8017.7841025598	2206.4	20026.9	19394.4206438607	30139.6601802941	30435.8624384542	3.79604414999615	9.26143395229548
2000	114.599	70.864	71427.9207354993	4811.25	8185.56828836748	2306.7	21418	20714.6656046013	30224.091216979	30181.8560162853	3.68720349681485	9.03669837247363
2001	114.077	69.708	71427.9207354993	4934.293	8148.28291374355	2378.2	22706.4	22055.9285185402	32573.5927009812	31384.1858470908	3.85163183204596	8.81133931548637
2002	112.609	67.276	71427.9207354993	4957.991	8043.42672610384	2483.2	23838.7	23267.958375655	35434.1815803556	33983.8236671155	4.22504298532684	8.79757830977252
2003	112.174	70.317	71427.9207354993	5106.611	8012.3555805839	2637.6	25199.2	24512.6577908808	35836.5686818266	35634.9964887189	4.44750562182638	8.90501389018782
2004	113.566	75.499	71427.9207354993	5406.291	8111.78324624771	2872.1	27736.8	26447.7133502855	36737.9700393383	36285.40333004	4.47317220252707	9.01644882199641
2005	115.398	81.003	71427.9207354993	5694.36	8242.63919703515	3169.3	30579.8	29135.1854322701	37751.441304643	37242.4074153345	4.51826247941684	9.09945840712464
2006	117.68	83.066	71427.9207354993	6047.079	8405.63771215356	3470.3	32899.2	31725.3705690399	39606.0963571136	38671.3567697834	4.60064519719535	9.18738403146727
2007	118.944	81.999	71427.9207354993	6369.769	8495.92260396323	3350.4	34054.8	33473.6755347962	41530.7503750046	40560.8130771188	4.7741504916956	8.40891152639681
2008	118.003	77.289	71427.9207354993	6475.493	8428.70893055112	3170.6	34883.7	34467.5888534701	45134.1070527501	43307.4470953874	5.1380878675752	7.74392121078516
2009	111.55	64.95	71427.9207354993	6126.325	7967.78455804495	3194	33991.8	34435.8249778349	52335.3348729792	48645.9181165208	6.10532548441007	7.87433605404386
2010	110.715	67.028	71427.9207354993	6241.287	7908.1422442308	3667.4	34464.7	34227.7055246618	51418.3624753834	51875.4979497987	6.55975782272294	9.06224684927625
2011	112.635	71.662	71427.9207354993	6531.987	8045.28385204296	3889.8	35442.1	34951.1222993949	49457.3134994837	50431.4834645767	6.26845297096267	9.37682846270334
2012	115.519	78.505	71427.9207354993	6871.565	8251.28197544414	4192.3	36554.2	35995.286785477	46562.8940831794	47995.5587719311	5.81673961873636	9.779817797164
2013	117.88	83.474	71427.9207354993	7095.28	8419.92329630066	4272.8	38535.4	37536.0862270282	46164.5542324556	46363.4389574436	5.5063968311699	9.57353619484864
2014	120.668	89.445	71427.9207354993	7468.702	8619.06433931123	4498.6	40336	39428.8478941441	45095.868969758	45628.1257572515	5.29386067454484	9.59239877169302
2015	123.521	93.204	71427.9207354993	7863.213	8822.84819716961	4542.1	41462.4	40896.6146985674	44485.6443929445	44790.0638698025	5.07659917396871	9.31525030826443
2016	125.605	95.713	71427.9207354993	8089.697	8971.70398398239	4521.6	43394.9	42421.3140118412	45338.5642493705	44910.7544813159	5.00582214499021	8.95171153659944
2017	127.458	100	71427.9207354993	8499.494	9104.05992110527	4660.4	45255.4	44318.6415300043	45255.4	45296.9694007061	4.97546916356487	8.82348449682132
2018	129.819	105.038	71427.9207354993	8952.809	9272.70124196178	4923.6	47621.6	46428.4510968873	45337.4969058817	45296.4360533236	4.88492348360622	8.89037192614678
2019	131.809	107.793	71427.9207354993	9386.295	9414.84280422542	5098.4	49625.5	48616.6670698054	46037.7761079105	45686.7420296022	4.85262929818624	8.78989592611525
2020	123.106	105.343	71427.9207354993	9462.543	8793.20561006437	5206.4	51901.2	50754.8473031283	49268.7696382294	47635.0115871111	5.41725210344107	8.64600736397161
2021	127.769	112.711	71427.9207354993	10361.17	9126.27400445401	6184.4	59239.6	55489.5493049619	52558.845188136	50896.0852850854	5.57687455584239	9.39154509665925
2022	133.727	115.187	71427.9207354993	11189.501	9551.84155619611	6595	66311.6	62709.1522484956	57568.6492399316	55025.7427748257	5.76074701941967	8.9243845592467
2023	136.317	119.434	71427.9207354993	11806.097	9736.83987090105	6974.7	68014.6	67159.50138047	56947.4354036539	57257.4806690201	5.88049936408387	8.83258044394811
2024	137.566	123.155	71427.9207354993	12463.662	9826.0533438997	7342.9	70276.5	69139.3835913096	57063.4566197069	57005.426333845	5.80145703862229	8.99831611282654
2025			71427.9207354993			7668.7						
